# Format:
# P1 P2 P3 ... Pn
# P1 P1 R1 R2 Winner
# Games beginning 29 May 2013
Milan Huy Z Z Milan
Milan Huy Z T Huy
Milan Huy P P Huy
Milan Huy Z T Milan
Milan Huy Z P Huy
Huy Don Z Z Huy
Huy Don T P Huy
Huy Don T P Huy
Huy Don T P Huy
Huy Don T P Don
Huy Don P P Huy
Huy Don P P Huy
Huy Don Z P Huy
Huy Don T P Don
Huy Don T Z Don
Milan Don Z Z Milan
Milan Don Z Z Don
Milan Don Z Z Milan
Milan Don Z Z Milan
Milan Don Z Z Milan
Milan Don Z P Don
Milan Don P Z Milan
Milan Don P Z Don
Milan Don Z Z Don
Milan Don Z P Milan
Milan Don Z P Don
